,OMXS30 vs olja,OMXS30 vs ränta
2025-01-22,-0.17839858483340773,-0.5752207392565168
2025-01-23,-0.23650251339462783,-0.76991021093912
2025-01-24,-0.2975717400097704,-0.7387244821644111
2025-01-27,0.34433338440128275,-0.19752280135010655
2025-01-28,0.4508021513186835,-0.19733449122283797
2025-01-29,0.40583313408034644,-0.16710051751301067
2025-01-30,-0.21304776326729177,0.46027487951822305
2025-01-31,-0.20096800431277811,0.45426325021546654
2025-02-03,-0.042836724555958335,0.4586422944497262
2025-02-04,0.17887998185346432,0.546723103147723
2025-02-05,0.22456689781254952,0.5218335220753144
2025-02-06,0.277254168469161,0.480546924426646
2025-02-07,0.1372806685464869,0.27344294621397475
2025-02-10,0.15272891965995203,0.1477640620853738
2025-02-11,0.2209906985562332,0.21278537523866725
2025-02-12,0.19603608345824824,0.2616021970419236
2025-02-13,0.1654131433210151,-0.11994816571774905
2025-02-14,0.16751712229253243,-0.09139385479359168
2025-02-18,0.20297405490211018,-0.0004258361634141781
2025-02-19,0.12206348279382385,0.023340039791233336
2025-02-20,0.027575971097104888,-0.09322112022184467
2025-02-21,0.1327049573144043,-0.0743610881622725
2025-02-24,0.1631713590158494,0.05288763005824079
2025-02-25,0.07839730813275504,0.01679217919893137
2025-02-26,0.06225302081775428,-0.028012788336239908
2025-02-27,-0.0967598176484772,-0.19611719666926095
2025-02-28,-0.04796343407742586,0.07134826101306191
2025-03-03,-0.12736919337899016,0.021273185063964667
2025-03-04,-0.23371255900812843,-0.6757196617106175
2025-03-05,-0.33099025082983957,-0.11955478643876792
2025-03-06,-0.35966481839206244,-0.09030655237701571
2025-03-07,-0.37824760484695447,-0.11155666342581692
2025-03-10,-0.32893155070905816,-0.024540628140175824
2025-03-11,-0.3688485490991648,-0.16365309315259668
2025-03-12,-0.27572498951882135,-0.05313492906627007
2025-03-13,-0.26492433101397544,-0.038736927273561185
2025-03-14,-0.15564908207579678,-0.007714580288889847
2025-03-17,-0.07391606914054115,0.06108699136331548
2025-03-18,-0.2517244411555604,0.18705606735775954
2025-03-19,0.27517389307009527,-0.04650977178179311
2025-03-20,0.24193447272614327,-0.0734985268983502
2025-03-21,0.2228776185151661,-0.15231913760383278
2025-03-24,0.21147202059911,-0.19872836002344144
2025-03-25,0.20929624101227262,0.18716794273459475
2025-03-26,0.030119810457708604,-0.0017027980608616895
2025-03-27,0.037393514559815426,-0.10402322675351826
2025-03-28,0.03072616837409398,0.016090847179435867
2025-03-31,-0.22856523079815158,0.01882663076778319
2025-04-01,-0.2640683795739885,-0.1970445384789488
2025-04-02,-0.2509053670412095,-0.22870747867798036
2025-04-03,0.6225144048056447,0.31331605077604324
2025-04-04,0.7776125285343403,0.3880223554560862
2025-04-07,0.6872890868251732,-0.23583057615628328
2025-04-08,0.45361585155636364,0.09643554004855208
2025-04-09,0.292526610886397,0.01763062823530621
2025-04-10,0.07557714573046154,-0.010912042410325277
2025-04-11,0.10709528377267075,0.014562277307146165
2025-04-14,0.18322086700374637,-0.1478254808963128
2025-04-15,0.19317788102649688,-0.15772853746601745
2025-04-16,0.19312758290785279,-0.14401487262465867
2025-04-17,-0.011356675002599655,-0.37730257591718214
2025-04-22,-0.4549233956499785,-0.6316646095867078
2025-04-23,-0.8767555402409655,-0.4806104743343184
2025-04-24,-0.8652714389991345,-0.5689016106019273
2025-04-25,-0.8024121073847736,-0.3588350061054348
2025-04-28,-0.50238458302055,-0.540347582421182
2025-04-29,-0.20136724844812573,-0.4536799885517509
2025-04-30,-0.32927586559268784,-0.10028454217290371
2025-05-02,-0.5141560280952164,0.29324061254082734
2025-05-05,-0.36812176218118997,0.20455237471987445
2025-05-06,-0.5131477233797072,0.41120886515885063
2025-05-07,-0.4989303510068079,0.4302977720845701
2025-05-08,-0.2781752747809318,0.47746752327266573
2025-05-09,-0.2991903578578988,0.5262863203885905
2025-05-12,-0.00828428756338435,0.6733611469941585
2025-05-13,-0.05455476718017891,0.6752437985228866
2025-05-14,-0.14197411098310306,0.6209012263308227
2025-05-15,-0.15366594206134904,0.47788400221906013
2025-05-16,-0.07066147121200833,0.45544193831470675
2025-05-19,-0.10300269553900157,0.4509309325386084
2025-05-20,0.15992471240541792,0.35093105904631494
2025-05-21,0.1948981314518616,0.07131769402175706
2025-05-22,0.27103258286370707,0.2488747125826275
2025-05-23,0.2722102915348716,0.31370044876657976
2025-05-27,-0.16703972852385768,-0.2646115976453197
2025-05-28,-0.29255044089427257,-0.30204221405368986
2025-05-30,-0.2347105921848221,-0.2194646110133162
2025-06-02,-0.060817851939283525,-0.1295305838770092
2025-06-03,-0.019194353680520967,-0.12263142595624456
2025-06-04,-0.15242130689921843,-0.30331312720511205
2025-06-05,-0.08976319155872285,-0.2806192072970329
2025-06-09,-0.14930946700474113,-0.23801444803036562
2025-06-10,-0.404571745918852,-0.45307823713763745
2025-06-11,-0.5001045952055256,-0.4760235884152655
2025-06-12,-0.23792669581022072,-0.17866704807996658
2025-06-13,-0.4466664571485015,-0.29767414637425466
2025-06-16,-0.6590238668098164,-0.2442200474068831
2025-06-17,-0.737438296383361,-0.030619156848626997
2025-06-18,-0.7346626037846646,-0.035672511909813576
2025-06-23,-0.04119708585615032,0.46204702904428746
2025-06-24,-0.3309546905135817,0.2720328390549553
2025-06-25,-0.3319065764500222,0.35675560151670077
2025-06-26,-0.32527067732211046,0.31143380070999643
2025-06-27,-0.21049192530475155,0.42508695940021024
2025-06-30,-0.21961267618535016,0.410659313815961
2025-07-01,-0.058509766350505796,0.6955822828631157
2025-07-02,0.08002174813152026,0.7097030576776071
2025-07-03,0.311347152537932,0.5852193549401067
2025-07-07,0.253953855384854,0.44412105901238197
2025-07-08,-0.166666761095435,0.18966037532092161
2025-07-09,0.2126098664836702,0.201863833035986
2025-07-10,-0.09281693553303078,0.1738703444852911
2025-07-11,-0.3361066282593331,-0.13771730093985432
2025-07-14,-0.23334229587031588,-0.2178664838901619
2025-07-15,-0.24812566865960475,-0.39831659955452353
2025-07-16,-0.22283240639147653,-0.21447504755857447
2025-07-17,-0.324770485315614,-0.3052914213347138
2025-07-18,-0.3013510020965912,-0.2729567354232629
2025-07-21,-0.2579998695511905,-0.20751369444905046
2025-07-22,-0.22982300299408037,-0.16719451583332878
2025-07-23,-0.18655541185797184,0.12347346372865944
2025-07-24,0.05739193768655184,0.14514533802620258
2025-07-25,0.564665247907874,0.5149195847844211
2025-07-28,0.1339402135993391,0.41364469941219145
2025-07-29,0.14287137960633922,0.3816675828036768
2025-07-30,0.06798278916732274,0.2871780592534644
2025-07-31,0.11266195006089376,0.2577300334943876
2025-08-01,0.446999050648274,0.5310655779095202
2025-08-04,0.37771190498517027,0.543406910359071
2025-08-05,0.3253332524027144,0.537913078358182
2025-08-06,0.418587415044648,0.42280375664127895
2025-08-07,0.3364878521667585,0.4553846057865271
2025-08-08,0.35916697759365684,0.47940322044226624
2025-08-11,0.5035102075960397,0.5675824215565711
2025-08-12,0.515432522739675,0.7605674052123141
2025-08-13,0.5780338156064001,0.7489832505165286
2025-08-14,0.6407157437683816,0.8219304262276259
2025-08-15,0.0448570910830643,0.35978312461181927
2025-08-18,-0.1745821337451575,0.40852931778248225
2025-08-19,-0.291267346814685,0.053717131574555606
2025-08-20,-0.426042940083675,0.10790285374432265
2025-08-21,-0.44144703285403486,-0.033403495787182005
2025-08-22,-0.3704322707139353,-0.385655471173954
2025-08-25,-0.5035512276113139,-0.4515249553859242
2025-08-26,-0.2218410084427004,-0.44466041169852466
2025-08-27,-0.2668300371380819,-0.43785842436040273
2025-08-28,-0.4001528857826642,-0.6622395588476977
2025-08-29,-0.28853726326845297,-0.8209100328953378
2025-09-02,-0.36514985173057757,-0.8699315524479411
2025-09-03,-0.36593423061587255,-0.8887069226629457
2025-09-04,-0.42009698051879146,-0.894465279415071
2025-09-05,-0.48862445026797185,-0.9272474533132745
2025-09-08,-0.5685985255506725,-0.9453817080484442
2025-09-09,-0.5272613366818277,-0.8897851549842435
2025-09-10,-0.6214770022144178,-0.8807422188448304
2025-09-11,-0.6155253752994881,-0.8776141410918494
2025-09-12,-0.6072015482116555,-0.7788439390957076
2025-09-15,-0.6621017850690345,-0.7618987538525025
2025-09-16,-0.766597642616011,-0.6339203695099029
2025-09-17,-0.6890682576645928,-0.4961587105111169
2025-09-18,-0.6811709769552037,-0.2919053543536491
2025-09-19,-0.6179403254861559,0.07257015487677516
2025-09-22,-0.7351834433905189,0.25862867522219685
2025-09-23,-0.3549922731260218,0.11023419381003255
2025-09-24,-0.5404875495355861,-0.09908736067838195
2025-09-25,-0.4715170121399525,-0.1015927826594938
2025-09-26,-0.3739804516749822,-0.09649542108880059
2025-09-29,-0.3479417720400702,-0.14855468405591313
2025-09-30,-0.2644970275952389,-0.2972740709677214
2025-10-01,-0.31558707205828906,-0.3410484775201087
2025-10-02,-0.38667232067680135,-0.48744676815589044
2025-10-03,-0.3251162046812363,-0.43313255749039226
2025-10-06,-0.29497601331911394,-0.358526536866558
2025-10-07,-0.39976813214584656,-0.10071997129430925
2025-10-08,-0.12589162524641007,0.06444872678679824
2025-10-09,0.01794441645400866,0.23016245633088797
2025-10-10,0.2551654032096082,0.5227175753327891
2025-10-13,0.24146083267065227,0.5389104474619996
2025-10-14,0.23577703054307741,0.5044233772000157
2025-10-15,0.304319324639669,0.6002718340688087
2025-10-16,0.5477206664408971,0.6879397980159419
2025-10-17,0.22048715972257077,0.20529309564238649
2025-10-20,0.12759631683903758,0.06661083515645697
2025-10-21,0.2378379625723404,0.009781248394968741
2025-10-22,0.07472822340830285,-0.021563781088941452
2025-10-23,0.1452055012916482,0.06390268350180141
2025-10-24,-0.14314250748597446,-0.2365441214205092
2025-10-27,-0.13922434001618875,-0.2298930230592088
2025-10-28,-0.02730847028947103,-0.18854540451524635
2025-10-29,-0.009950378558124499,-0.346596796833675
2025-10-30,-0.013222225224593076,-0.43273615207138133
2025-10-31,-0.01898690427468253,-0.35932823872665937
2025-11-03,0.15657633524610065,-0.17512733736506564
2025-11-04,0.23087668451693147,0.09148202484601449
2025-11-05,0.21172986850651743,0.15576124452254872
2025-11-06,-0.07617109003882999,0.17503306163285237
2025-11-07,-0.32447197042872883,0.31015426967446774
2025-11-10,0.09017489086970588,0.3019869848803489
2025-11-11,0.41715568526350066,0.20346592479486195
2025-11-12,0.08501599862910679,0.21633764727602212
2025-11-13,-0.011837088918271418,0.0002225236045379097
2025-11-14,-0.17239014567838826,-0.0879300669221763
2025-11-17,-0.15960868391766733,-0.03639213962288876
2025-11-18,-0.2773023953796625,0.02522077937607121
2025-11-19,-0.2990986634758928,-0.07570089811682174
2025-11-20,-0.30092685652910967,-0.17416625969419325
2025-11-21,-0.29086563233408363,-0.16258219641624655
2025-11-24,-0.24823296543984824,-0.30910166771103315
2025-11-25,-0.4858914950268382,-0.48391550702108116
2025-11-26,-0.37053864735030956,-0.41840294962326297
2025-11-28,-0.3548818159459178,-0.2730880461075692
2025-12-01,-0.24684639172407613,-0.12928814698956254
2025-12-02,-0.23980421859032375,-0.16194543973024964
2025-12-03,0.15636226262335856,-0.3251683162111078
2025-12-04,0.3461690011383377,-0.040798321636158326
2025-12-05,0.3437148105996454,-0.021339830297854984
