serie,roll,tid,kategori,innehall,varde
hushall_bolan,kredit,2022-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1341675
hushall_bolan,kredit,2022-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1349033
hushall_bolan,kredit,2022-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1353783
hushall_bolan,kredit,2022-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1362916
hushall_bolan,kredit,2022-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1365891
hushall_bolan,kredit,2022-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1368650
hushall_bolan,kredit,2022-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1372157
hushall_bolan,kredit,2022-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1372327
hushall_bolan,kredit,2022-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1374225
hushall_bolan,kredit,2022-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1377482
hushall_bolan,kredit,2023-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1377871
hushall_bolan,kredit,2023-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1377987
hushall_bolan,kredit,2023-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1380313
hushall_bolan,kredit,2023-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1381303
hushall_bolan,kredit,2023-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1381491
hushall_bolan,kredit,2023-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1384853
hushall_bolan,kredit,2023-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1383370
hushall_bolan,kredit,2023-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1383385
hushall_bolan,kredit,2023-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1384842
hushall_bolan,kredit,2023-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1383542
hushall_bolan,kredit,2023-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1384552
hushall_bolan,kredit,2023-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1385314
hushall_bolan,kredit,2024-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1384610
hushall_bolan,kredit,2024-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1384723
hushall_bolan,kredit,2024-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1385682
hushall_bolan,kredit,2024-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1386269
hushall_bolan,kredit,2024-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1388199
hushall_bolan,kredit,2024-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1390475
hushall_bolan,kredit,2024-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1390694
hushall_bolan,kredit,2024-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1392910
hushall_bolan,kredit,2024-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1393537
hushall_bolan,kredit,2024-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1394808
hushall_bolan,kredit,2024-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1397277
hushall_bolan,kredit,2024-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1398746
hushall_bolan,kredit,2025-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1400858
hushall_bolan,kredit,2025-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1403142
hushall_bolan,kredit,2025-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1404940
hushall_bolan,kredit,2025-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1407923
hushall_bolan,kredit,2025-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1411217
hushall_bolan,kredit,2025-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1414527
hushall_bolan,kredit,2025-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1416265
hushall_bolan,kredit,2025-08,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1419341
hushall_bolan,kredit,2025-09,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1421697
hushall_bolan,kredit,2025-10,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1425020
hushall_bolan,kredit,2025-11,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1428399
hushall_bolan,kredit,2025-12,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1430001
hushall_bolan,kredit,2026-01,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1432288
hushall_bolan,kredit,2026-02,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1434756
hushall_bolan,kredit,2026-03,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1437779
hushall_bolan,kredit,2026-04,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1441228
hushall_bolan,kredit,2026-05,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1445680
hushall_bolan,kredit,2026-06,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1452124
hushall_bolan,kredit,2026-07,MFI | hushåll | bostadsrätter,"Utestående avtal, mnkr",1459670
hushall_bolan,kredit,2015-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",1785692
hushall_bolan,kredit,2015-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",1791796
hushall_bolan,kredit,2015-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",1798591
hushall_bolan,kredit,2015-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",1806894
hushall_bolan,kredit,2015-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",1816096
hushall_bolan,kredit,2015-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",1828387
hushall_bolan,kredit,2015-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",1838729
hushall_bolan,kredit,2015-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",1846287
hushall_bolan,kredit,2015-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",1860899
hushall_bolan,kredit,2015-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",1871127
hushall_bolan,kredit,2015-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",1880199
hushall_bolan,kredit,2015-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",1893213
hushall_bolan,kredit,2016-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",1898677
hushall_bolan,kredit,2016-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",1904572
hushall_bolan,kredit,2016-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",1913752
hushall_bolan,kredit,2016-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",1924246
hushall_bolan,kredit,2016-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",1937828
hushall_bolan,kredit,2016-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",1951183
hushall_bolan,kredit,2016-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",1959005
hushall_bolan,kredit,2016-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",1966106
hushall_bolan,kredit,2016-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",1976987
hushall_bolan,kredit,2016-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",1984371
hushall_bolan,kredit,2016-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",1992893
hushall_bolan,kredit,2016-12,MFI | hushåll | småhus,"Utestående avtal, mnkr",2003922
hushall_bolan,kredit,2017-01,MFI | hushåll | småhus,"Utestående avtal, mnkr",2008320
hushall_bolan,kredit,2017-02,MFI | hushåll | småhus,"Utestående avtal, mnkr",2016240
hushall_bolan,kredit,2017-03,MFI | hushåll | småhus,"Utestående avtal, mnkr",2026057
hushall_bolan,kredit,2017-04,MFI | hushåll | småhus,"Utestående avtal, mnkr",2032185
hushall_bolan,kredit,2017-05,MFI | hushåll | småhus,"Utestående avtal, mnkr",2041560
hushall_bolan,kredit,2017-06,MFI | hushåll | småhus,"Utestående avtal, mnkr",2055344
hushall_bolan,kredit,2017-07,MFI | hushåll | småhus,"Utestående avtal, mnkr",2063719
hushall_bolan,kredit,2017-08,MFI | hushåll | småhus,"Utestående avtal, mnkr",2072159
hushall_bolan,kredit,2017-09,MFI | hushåll | småhus,"Utestående avtal, mnkr",2083680
hushall_bolan,kredit,2017-10,MFI | hushåll | småhus,"Utestående avtal, mnkr",2090093
hushall_bolan,kredit,2017-11,MFI | hushåll | småhus,"Utestående avtal, mnkr",2100572
