manad,annonser_bygg,annonser_alla,stat_5y,byggaktier
2021-12-01,2853.0,77771.0,-0.015047619047619048,285.5810485538946
2022-01-01,2938.0,77732.0,0.1941535,278.39582679726385
2022-02-01,3269.0,90289.0,0.4800255,260.69733910010154
2022-03-01,3729.0,105467.0,0.7416460869565218,242.8847425921584
2022-04-01,3402.0,91721.0,1.3534131578947368,227.26145013791194
2022-05-01,3789.0,107441.0,1.6673666666666667,196.6242721250965
2022-06-01,2994.0,87772.0,1.9355959999999999,177.6590755766026
2022-07-01,2250.0,59124.0,1.6657485714285714,175.67015195951092
2022-08-01,3104.0,84850.0,1.8107421739130434,183.7000604034254
2022-09-01,3228.0,93084.0,2.344505909090909,172.12290743692444
2022-10-01,2853.0,91080.0,2.3837338095238096,157.483131084776
2022-11-01,2421.0,87705.0,2.1763636363636363,176.41499186166877
2022-12-01,2293.0,85643.0,2.144904761904762,170.99868885221798
2023-01-01,2351.0,93806.0,2.1952380952380954,184.80605226133193
2023-02-01,2331.0,90761.0,2.4518999999999997,183.46061854225954
2023-03-01,2777.0,112784.0,2.490521739130435,171.96187360595144
2023-04-01,2214.0,94939.0,2.5181666666666667,173.83752297138082
2023-05-01,2575.0,127034.0,2.440238095238095,164.5917919342196
2023-06-01,2174.0,87042.0,2.6420500000000002,158.52127566268837
2023-07-01,1579.0,63024.0,2.7592380952380955,162.75790426994163
2023-08-01,1860.0,76861.0,2.9042173913043476,155.09127998877182
2023-09-01,1874.0,77507.0,3.0394285714285716,153.9114067225709
2023-10-01,1890.0,74769.0,3.064409090909091,146.43558727360846
2023-11-01,1529.0,69183.0,2.7920454545454545,148.5472282277293
2023-12-01,1446.0,60928.0,2.206,157.23212774461425
2024-01-01,1507.0,73003.0,2.171772727272727,160.96689010655206
2024-02-01,1821.0,71722.0,2.3916666666666666,157.11561362492762
2024-03-01,1795.0,69280.0,2.3524000000000003,168.36103770258103
2024-04-01,2137.0,76204.0,2.5053809523809525,171.54338134665073
2024-05-01,2098.0,68782.0,2.405047619047619,175.5420946864196
2024-06-01,1656.0,55222.0,2.256111111111111,174.95399054320552
2024-07-01,1398.0,40516.0,2.080521739130435,187.8430859403848
2024-08-01,1719.0,52290.0,1.8205,187.74918952844496
2024-09-01,1834.0,55879.0,1.7454761904761906,183.02767225454633
2024-10-01,1795.0,58561.0,1.8737826086956522,183.38416853533957
2024-11-01,1664.0,50706.0,1.9117619047619048,177.33011372940263
2024-12-01,1655.0,46770.0,1.9421111111111111,178.91130040770005
2025-01-01,1890.0,63302.0,2.1166666666666667,179.33030858783076
2025-02-01,2161.0,62303.0,2.0867,195.65636401884478
2025-03-01,2078.0,66828.0,2.375714285714286,189.66155389005738
2025-04-01,3041.0,87936.0,2.0661,181.71543884532528
2025-05-01,3483.0,92860.0,2.0644,194.2993968069223
2025-06-01,3039.0,81072.0,2.0237368421052633,189.9342417917358
2025-07-01,2450.0,63225.0,2.0460869565217394,190.82040741954566
2025-08-01,2947.0,73245.0,2.099952380952381,191.33507210874558
2025-09-01,3800.0,98849.0,2.167090909090909,189.9668546177827
2025-10-01,3777.0,99372.0,2.170086956521739,196.24968457067965
2025-11-01,2743.0,79915.0,2.30925,184.57600581529414
2025-12-01,3222.0,84288.0,2.4718947368421054,191.39484737256836
2026-01-01,3280.0,92227.0,2.4204999999999997,205.59939004639017
2026-02-01,3640.0,96787.0,2.24925,217.4289508084397
2026-03-01,3564.0,93836.0,2.472272727272727,204.96936958648843
2026-04-01,4114.0,103186.0,2.51645,209.02616539375427
2026-05-01,3495.0,85619.0,2.489578947368421,210.5286468997781
2026-06-01,2403.0,59692.0,2.4364285714285714,212.21463774929688
2026-07-01,1231.0,29933.0,2.579304347826087,221.20482008773928
2026-08-01,1423.0,36893.0,2.733714285714286,223.0761659515986
