"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","kvinnor","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","totalt",131914,137361,141719,143489,145633,131914,137367,141739,143503,145645
"00 Riket","kvinnor","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","inrikes född",108681,111962,114268,114423,114927,108681,111966,114276,114431,114936
"00 Riket","kvinnor","B+C tillverkningsindustri; gruvor och mineralutvinningsindustri","utrikes född",23229,25403,27452,29064,30708,23229,25403,27461,29070,30706
"00 Riket","kvinnor","D+E företag inom energi och miljö","totalt",13722,14400,15297,16580,17570,13722,14400,15297,16580,17570
"00 Riket","kvinnor","D+E företag inom energi och miljö","inrikes född",12471,13035,13796,14917,15735,12471,13035,13796,14917,15735
"00 Riket","kvinnor","D+E företag inom energi och miljö","utrikes född",1248,1361,1502,1665,1834,1248,1361,1502,1665,1834
"00 Riket","kvinnor","F byggindustri","totalt",37137,38814,41558,41748,39878,37137,38819,41566,41754,39881
"00 Riket","kvinnor","F byggindustri","inrikes född",30749,31738,33802,34017,32790,30749,31741,33805,34023,32791
"00 Riket","kvinnor","F byggindustri","utrikes född",6385,7079,7761,7730,7087,6385,7079,7761,7730,7087
"00 Riket","kvinnor","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",263530,269650,275886,274669,273683,263530,269650,275886,274669,273680
"00 Riket","kvinnor","G handel; serviceverkstäder för motorfordon och motorcyklar","inrikes född",226773,230550,233826,231860,230546,226773,230550,233826,231860,230546
"00 Riket","kvinnor","G handel; serviceverkstäder för motorfordon och motorcyklar","utrikes född",36759,39103,42059,42812,43137,36759,39103,42059,42812,43137
