"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"1860 Laxå","F byggverksamhet","kvinnor",6,4,4,5,4,5,5,8,7,10,8
"1860 Laxå","G handel","män",121,112,144,155,131,141,138,137,132,110,122
"1860 Laxå","G handel","kvinnor",83,74,76,80,84,83,82,89,93,98,94
"1860 Laxå","H transport och magasinering","män",60,49,55,52,53,56,50,38,46,36,32
"1860 Laxå","H transport och magasinering","kvinnor",13,14,13,13,13,13,10,9,9,7,6
"1860 Laxå","I hotell- och restaurangverksamhet","män",26,26,27,23,18,22,25,26,34,32,32
"1860 Laxå","I hotell- och restaurangverksamhet","kvinnor",40,38,39,38,36,40,47,39,39,33,36
"1860 Laxå","J information och kommunikation","män",9,11,8,9,9,8,8,7,7,5,6
"1860 Laxå","J information och kommunikation","kvinnor",3,3,4,3,3,4,5,6,3,2,1
"1860 Laxå","K finans- och försäkringsverksamhet","män",5,6,4,4,3,1,1,1,1,0,0
"1860 Laxå","K finans- och försäkringsverksamhet","kvinnor",8,9,9,3,4,3,4,5,3,2,0
"1860 Laxå","L fastighetsverksamhet","män",37,32,32,33,33,31,23,26,30,26,27
"1860 Laxå","L fastighetsverksamhet","kvinnor",10,8,10,7,8,9,9,10,11,9,6
"1860 Laxå","M+N företagstjänster","män",78,71,94,85,88,79,80,78,71,69,71
"1860 Laxå","M+N företagstjänster","kvinnor",31,29,53,42,42,39,36,32,38,36,44
"1860 Laxå","O offentlig förvaltning och försvar","män",18,15,13,9,15,18,16,20,22,27,35
"1860 Laxå","O offentlig förvaltning och försvar","kvinnor",39,43,45,26,24,36,39,51,61,61,68
"1860 Laxå","P utbildning ","män",33,35,34,33,26,25,28,33,40,45,43
"1860 Laxå","P utbildning ","kvinnor",143,139,136,133,134,118,119,124,144,173,170
"1860 Laxå","Q vård och omsorg; sociala tjänster","män",27,26,26,30,35,33,44,69,74,68,57
"1860 Laxå","Q vård och omsorg; sociala tjänster","kvinnor",328,302,293,334,313,314,316,321,370,337,331
"1860 Laxå","R+S+T+U kulturella och personliga tjänster m.m.","män",34,36,38,34,31,31,33,37,29,25,28
