"region","näringsgren SNI 2007","Fasta bruttoinvesteringar, löpande priser, mnkr 2000","Fasta bruttoinvesteringar, löpande priser, mnkr 2001","Fasta bruttoinvesteringar, löpande priser, mnkr 2002","Fasta bruttoinvesteringar, löpande priser, mnkr 2003","Fasta bruttoinvesteringar, löpande priser, mnkr 2004","Fasta bruttoinvesteringar, löpande priser, mnkr 2005","Fasta bruttoinvesteringar, löpande priser, mnkr 2006","Fasta bruttoinvesteringar, löpande priser, mnkr 2007","Fasta bruttoinvesteringar, löpande priser, mnkr 2008","Fasta bruttoinvesteringar, löpande priser, mnkr 2009","Fasta bruttoinvesteringar, löpande priser, mnkr 2010","Fasta bruttoinvesteringar, löpande priser, mnkr 2011","Fasta bruttoinvesteringar, löpande priser, mnkr 2012","Fasta bruttoinvesteringar, löpande priser, mnkr 2013","Fasta bruttoinvesteringar, löpande priser, mnkr 2014","Fasta bruttoinvesteringar, löpande priser, mnkr 2015","Fasta bruttoinvesteringar, löpande priser, mnkr 2016","Fasta bruttoinvesteringar, löpande priser, mnkr 2017","Fasta bruttoinvesteringar, löpande priser, mnkr 2018","Fasta bruttoinvesteringar, löpande priser, mnkr 2019","Fasta bruttoinvesteringar, löpande priser, mnkr 2020","Fasta bruttoinvesteringar, löpande priser, mnkr 2021","Fasta bruttoinvesteringar, löpande priser, mnkr 2022","Fasta bruttoinvesteringar, löpande priser, mnkr 2023","Fasta bruttoinvesteringar, löpande priser, mnkr 2024"
"RIKS6 Norra mellansverige","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",5353,5534,6007,5907,6765,6620,7530,7133,9231,10253,10863,7740,8198,10178,9940,11172,10652,11363,12196,12643,14793,15586,16701,18605,20543
"RIKS7 Mellersta Norrland","hela ekonomin, totalt",20322,20415,20441,18725,25382,26153,25923,26715,32179,25526,23993,24645,26949,23558,25184,29901,33476,38149,32988,33749,36094,37166,49124,50897,50079
"RIKS7 Mellersta Norrland","A01-F43 varuproducenter",8348,8135,7839,7302,8761,9609,9268,8462,12257,7636,7089,7765,8556,6750,7316,12470,13749,15288,11545,9130,11695,12215,18231,19807,18448
"RIKS7 Mellersta Norrland","G45-T98 tjänsteproducenter",8821,8920,8146,7246,10507,11136,11254,12869,14277,13042,12264,11893,12230,11120,11904,12585,14569,16499,14439,17373,16092,17187,21373,21563,22408
"RIKS7 Mellersta Norrland","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS7 Mellersta Norrland","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",3153,3360,4456,4177,6114,5408,5401,5384,5645,4848,4640,4987,6163,5688,5964,4846,5158,6362,7004,7246,8307,7764,9520,9527,9223
"RIKS8 Övre Norrland","hela ekonomin, totalt",28978,28397,27770,29205,31324,34244,43412,51079,50472,39788,43205,46906,49344,47571,50118,62094,57936,56616,65848,67740,66972,81840,101965,100896,112682
"RIKS8 Övre Norrland","A01-F43 varuproducenter",11861,10614,10610,10923,10670,13223,18681,25917,21011,15466,15929,20081,23540,20162,18868,26394,20486,18957,27229,26673,32240,38514,42690,52391,54948
"RIKS8 Övre Norrland","G45-T98 tjänsteproducenter",10062,10434,9868,10944,12595,12509,14376,14401,17117,12633,15220,16027,14723,16143,18521,22162,23438,23278,23345,22829,18308,24736,38450,26692,30735
"RIKS8 Övre Norrland","ej branschfördelade poster",..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
"RIKS8 Övre Norrland","offentliga myndigheter samt hushållens icke-vinstdrivande organisationer",7055,7349,7292,7338,8059,8512,10355,10761,12344,11689,12056,10798,11081,11266,12729,13538,14012,14381,15274,18238,16424,18590,20825,21813,26999
