"region","kön","näringsgren SNI 2007","födelseregion","sysselsatta efter arbetsställets belägenhet 2020","sysselsatta efter arbetsställets belägenhet 2021","sysselsatta efter arbetsställets belägenhet 2022","sysselsatta efter arbetsställets belägenhet 2023","sysselsatta efter arbetsställets belägenhet 2024","sysselsatta efter bostadens belägenhet 2020","sysselsatta efter bostadens belägenhet 2021","sysselsatta efter bostadens belägenhet 2022","sysselsatta efter bostadens belägenhet 2023","sysselsatta efter bostadens belägenhet 2024"
"00 Riket","kvinnor","G handel; serviceverkstäder för motorfordon och motorcyklar","totalt",267867,271105,279955,280399,279664,267868,271105,279955,280399,279664
"00 Riket","kvinnor","G handel; serviceverkstäder för motorfordon och motorcyklar","inrikes född",231165,232882,238561,237380,236343,231166,232882,238561,237380,236343
"00 Riket","kvinnor","G handel; serviceverkstäder för motorfordon och motorcyklar","utrikes född",36702,38224,41395,43019,43321,36702,38224,41395,43019,43321
"00 Riket","kvinnor","H transport- och magasineringsföretag","totalt",49403,49460,50476,50529,50604,50599,50372,51593,51619,51695
"00 Riket","kvinnor","H transport- och magasineringsföretag","inrikes född",42050,41712,41871,41199,41151,42987,42424,42737,42052,42002
"00 Riket","kvinnor","H transport- och magasineringsföretag","utrikes född",7353,7747,8605,9331,9454,7614,7948,8854,9567,9694
"00 Riket","kvinnor","I hotell och restauranger","totalt",82944,81153,100048,104318,105659,82944,81153,100048,104318,105659
"00 Riket","kvinnor","I hotell och restauranger","inrikes född",57071,55665,67854,69339,69804,57071,55665,67854,69339,69804
"00 Riket","kvinnor","I hotell och restauranger","utrikes född",25875,25488,32194,34979,35854,25875,25488,32194,34979,35854
"00 Riket","kvinnor","J informations- och kommunikationsföretag","totalt",63583,66440,71805,75266,74263,63583,66440,71805,75265,74265
"00 Riket","kvinnor","J informations- och kommunikationsföretag","inrikes född",50867,52579,55720,57788,56691,50867,52579,55720,57788,56692
"00 Riket","kvinnor","J informations- och kommunikationsföretag","utrikes född",12716,13863,16084,17478,17572,12716,13863,16084,17478,17572
"00 Riket","kvinnor","K kreditinstitut och försäkringsbolag m.m.","totalt",49156,50284,52298,54199,55657,49159,50288,52302,54202,55661
"00 Riket","kvinnor","K kreditinstitut och försäkringsbolag m.m.","inrikes född",42986,43606,44791,46250,47541,42990,43610,44796,46253,47544
"00 Riket","kvinnor","K kreditinstitut och försäkringsbolag m.m.","utrikes född",6169,6679,7507,7948,8118,6169,6679,7507,7948,8118
"00 Riket","kvinnor","L fastighetsbolag och fastighetsförvaltare","totalt",35466,36144,37139,37217,37045,35466,36144,37139,37217,37045
"00 Riket","kvinnor","L fastighetsbolag och fastighetsförvaltare","inrikes född",30896,31441,32114,32012,31741,30896,31441,32114,32012,31741
"00 Riket","kvinnor","L fastighetsbolag och fastighetsförvaltare","utrikes född",4570,4702,5024,5208,5305,4570,4702,5024,5208,5305
"00 Riket","kvinnor","M+N företag inom juridik, ekonomi, vetenskap och teknik; företag inom uthyrning, fastighetsservice, resetjänster och andra stödtjänster","totalt",265119,270943,289032,296657,298042,265178,270995,289143,296798,298183
