"region","näringsgren SNI 2007","kön","Antal 2019","Antal 2020","Antal 2021"
"1880 Örebro","J information och kommunikation","kvinnor",616,628,668
"1880 Örebro","K finans- och försäkringsverksamhet","män",414,423,473
"1880 Örebro","K finans- och försäkringsverksamhet","kvinnor",404,399,441
"1880 Örebro","L fastighetsverksamhet","män",979,1044,1000
"1880 Örebro","L fastighetsverksamhet","kvinnor",606,612,614
"1880 Örebro","M+N företagstjänster","män",5271,5102,5652
"1880 Örebro","M+N företagstjänster","kvinnor",4013,3902,4188
"1880 Örebro","O offentlig förvaltning och försvar","män",2957,4103,4006
"1880 Örebro","O offentlig förvaltning och försvar","kvinnor",4176,4535,4527
"1880 Örebro","P utbildning ","män",2725,2721,2713
"1880 Örebro","P utbildning ","kvinnor",6935,6830,6898
"1880 Örebro","Q vård och omsorg; sociala tjänster","män",3608,3564,3721
"1880 Örebro","Q vård och omsorg; sociala tjänster","kvinnor",12901,12677,12888
"1880 Örebro","R+S+T+U kulturella och personliga tjänster m.m.","män",1813,1686,1678
"1880 Örebro","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",2139,2073,2159
"1880 Örebro","00 okänd verksamhet","män",191,170,208
"1880 Örebro","00 okänd verksamhet","kvinnor",284,274,265
"1881 Kumla","A jordbruk, skogsbruk och fiske","män",72,77,73
"1881 Kumla","A jordbruk, skogsbruk och fiske","kvinnor",39,37,34
"1881 Kumla","B+C tillverkning och utvinning","män",668,668,709
"1881 Kumla","B+C tillverkning och utvinning","kvinnor",221,202,228
"1881 Kumla","D+E energiförsörjning; miljöverksamhet","män",125,125,131
"1881 Kumla","D+E energiförsörjning; miljöverksamhet","kvinnor",52,51,51
"1881 Kumla","F byggverksamhet","män",649,634,671
"1881 Kumla","F byggverksamhet","kvinnor",54,49,47
"1881 Kumla","G handel","män",540,526,539
"1881 Kumla","G handel","kvinnor",360,333,352
"1881 Kumla","H transport och magasinering","män",206,171,162
"1881 Kumla","H transport och magasinering","kvinnor",74,65,57
"1881 Kumla","I hotell- och restaurangverksamhet","män",103,96,90
"1881 Kumla","I hotell- och restaurangverksamhet","kvinnor",68,61,62
"1881 Kumla","J information och kommunikation","män",122,124,119
"1881 Kumla","J information och kommunikation","kvinnor",18,14,15
"1881 Kumla","K finans- och försäkringsverksamhet","män",6,8,6
"1881 Kumla","K finans- och försäkringsverksamhet","kvinnor",10,8,8
"1881 Kumla","L fastighetsverksamhet","män",71,77,74
"1881 Kumla","L fastighetsverksamhet","kvinnor",108,106,115
"1881 Kumla","M+N företagstjänster","män",288,230,241
"1881 Kumla","M+N företagstjänster","kvinnor",199,209,205
"1881 Kumla","O offentlig förvaltning och försvar","män",456,472,470
"1881 Kumla","O offentlig förvaltning och försvar","kvinnor",512,545,563
"1881 Kumla","P utbildning ","män",200,185,190
"1881 Kumla","P utbildning ","kvinnor",784,750,763
"1881 Kumla","Q vård och omsorg; sociala tjänster","män",184,199,192
"1881 Kumla","Q vård och omsorg; sociala tjänster","kvinnor",917,879,862
"1881 Kumla","R+S+T+U kulturella och personliga tjänster m.m.","män",123,104,114
"1881 Kumla","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",205,159,160
"1881 Kumla","00 okänd verksamhet","män",84,86,72
"1881 Kumla","00 okänd verksamhet","kvinnor",101,99,98
"1882 Askersund","A jordbruk, skogsbruk och fiske","män",284,286,293
"1882 Askersund","A jordbruk, skogsbruk och fiske","kvinnor",88,82,72
"1882 Askersund","B+C tillverkning och utvinning","män",853,844,883
"1882 Askersund","B+C tillverkning och utvinning","kvinnor",280,277,284
"1882 Askersund","D+E energiförsörjning; miljöverksamhet","män",33,36,38
"1882 Askersund","D+E energiförsörjning; miljöverksamhet","kvinnor",22,23,27
"1882 Askersund","F byggverksamhet","män",423,436,428
"1882 Askersund","F byggverksamhet","kvinnor",40,40,36
"1882 Askersund","G handel","män",178,167,182
"1882 Askersund","G handel","kvinnor",171,176,179
"1882 Askersund","H transport och magasinering","män",214,201,188
"1882 Askersund","H transport och magasinering","kvinnor",40,39,46
"1882 Askersund","I hotell- och restaurangverksamhet","män",35,45,49
"1882 Askersund","I hotell- och restaurangverksamhet","kvinnor",63,56,72
"1882 Askersund","J information och kommunikation","män",19,17,16
"1882 Askersund","J information och kommunikation","kvinnor",7,5,4
"1882 Askersund","K finans- och försäkringsverksamhet","män",1,1,2
"1882 Askersund","K finans- och försäkringsverksamhet","kvinnor",4,2,2
"1882 Askersund","L fastighetsverksamhet","män",36,41,43
"1882 Askersund","L fastighetsverksamhet","kvinnor",16,19,23
"1882 Askersund","M+N företagstjänster","män",178,149,161
"1882 Askersund","M+N företagstjänster","kvinnor",112,101,106
"1882 Askersund","O offentlig förvaltning och försvar","män",42,41,46
"1882 Askersund","O offentlig förvaltning och försvar","kvinnor",60,61,69
"1882 Askersund","P utbildning ","män",53,54,59
"1882 Askersund","P utbildning ","kvinnor",355,334,354
"1882 Askersund","Q vård och omsorg; sociala tjänster","män",124,133,136
"1882 Askersund","Q vård och omsorg; sociala tjänster","kvinnor",581,598,590
"1882 Askersund","R+S+T+U kulturella och personliga tjänster m.m.","män",49,46,51
"1882 Askersund","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",95,94,98
"1882 Askersund","00 okänd verksamhet","män",56,58,57
"1882 Askersund","00 okänd verksamhet","kvinnor",86,89,85
"1883 Karlskoga","A jordbruk, skogsbruk och fiske","män",177,170,165
"1883 Karlskoga","A jordbruk, skogsbruk och fiske","kvinnor",53,61,58
"1883 Karlskoga","B+C tillverkning och utvinning","män",2958,3034,3171
"1883 Karlskoga","B+C tillverkning och utvinning","kvinnor",1121,1219,1269
"1883 Karlskoga","D+E energiförsörjning; miljöverksamhet","män",188,187,168
"1883 Karlskoga","D+E energiförsörjning; miljöverksamhet","kvinnor",51,48,45
"1883 Karlskoga","F byggverksamhet","män",894,903,972
"1883 Karlskoga","F byggverksamhet","kvinnor",113,120,182
"1883 Karlskoga","G handel","män",730,716,718
"1883 Karlskoga","G handel","kvinnor",590,589,604
"1883 Karlskoga","H transport och magasinering","män",241,233,233
"1883 Karlskoga","H transport och magasinering","kvinnor",56,56,56
"1883 Karlskoga","I hotell- och restaurangverksamhet","män",177,182,192
"1883 Karlskoga","I hotell- och restaurangverksamhet","kvinnor",221,220,218
"1883 Karlskoga","J information och kommunikation","män",265,249,247
"1883 Karlskoga","J information och kommunikation","kvinnor",137,114,117
"1883 Karlskoga","K finans- och försäkringsverksamhet","män",19,21,22
"1883 Karlskoga","K finans- och försäkringsverksamhet","kvinnor",30,34,29
"1883 Karlskoga","L fastighetsverksamhet","män",196,193,165
"1883 Karlskoga","L fastighetsverksamhet","kvinnor",142,125,117
"1883 Karlskoga","M+N företagstjänster","män",708,684,703
"1883 Karlskoga","M+N företagstjänster","kvinnor",666,665,689
"1883 Karlskoga","O offentlig förvaltning och försvar","män",282,263,263
"1883 Karlskoga","O offentlig förvaltning och försvar","kvinnor",422,432,385
"1883 Karlskoga","P utbildning ","män",311,311,291
"1883 Karlskoga","P utbildning ","kvinnor",934,956,956
"1883 Karlskoga","Q vård och omsorg; sociala tjänster","män",391,386,420
"1883 Karlskoga","Q vård och omsorg; sociala tjänster","kvinnor",2164,2116,2209
"1883 Karlskoga","R+S+T+U kulturella och personliga tjänster m.m.","män",262,228,223
"1883 Karlskoga","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",320,292,276
"1883 Karlskoga","00 okänd verksamhet","män",69,53,52
"1883 Karlskoga","00 okänd verksamhet","kvinnor",65,63,58
"1884 Nora","A jordbruk, skogsbruk och fiske","män",128,115,120
"1884 Nora","A jordbruk, skogsbruk och fiske","kvinnor",41,33,37
"1884 Nora","B+C tillverkning och utvinning","män",431,396,395
"1884 Nora","B+C tillverkning och utvinning","kvinnor",162,156,155
"1884 Nora","D+E energiförsörjning; miljöverksamhet","män",7,9,8
"1884 Nora","D+E energiförsörjning; miljöverksamhet","kvinnor",0,0,0
"1884 Nora","F byggverksamhet","män",280,278,298
"1884 Nora","F byggverksamhet","kvinnor",30,31,38
"1884 Nora","G handel","män",121,127,127
"1884 Nora","G handel","kvinnor",151,160,178
