"region","näringsgren SNI 2007","kön","Antal 2008","Antal 2009","Antal 2010","Antal 2011","Antal 2012","Antal 2013","Antal 2014","Antal 2015","Antal 2016","Antal 2017","Antal 2018"
"03 Uppsala län","B+C tillverkning och utvinning","män",9776,9074,9022,9148,9021,8790,8847,8664,8588,8728,8850
"03 Uppsala län","B+C tillverkning och utvinning","kvinnor",3714,3366,3344,3451,3500,3430,3421,3338,3287,3286,3290
"03 Uppsala län","D+E energiförsörjning; miljöverksamhet","män",1631,1684,1679,1668,1831,1801,1846,1929,1910,1878,1892
"03 Uppsala län","D+E energiförsörjning; miljöverksamhet","kvinnor",428,477,489,476,578,575,609,613,609,616,646
"03 Uppsala län","F byggverksamhet","män",10039,9839,10317,11002,11244,11423,11647,12125,12503,12797,12839
"03 Uppsala län","F byggverksamhet","kvinnor",712,708,818,908,1102,1167,1198,1262,1343,1402,1416
"03 Uppsala län","G handel","män",7263,7173,7599,7631,7955,8108,8095,8202,8657,8890,9231
"03 Uppsala län","G handel","kvinnor",6828,6584,6978,6803,7019,7111,7055,7151,7441,7631,7745
"03 Uppsala län","H transport och magasinering","män",4670,4606,4645,4695,4803,4922,4764,4543,4600,4626,4758
"03 Uppsala län","H transport och magasinering","kvinnor",1203,1197,1185,1171,1140,1129,1047,948,879,917,932
"03 Uppsala län","I hotell- och restaurangverksamhet","män",1532,1535,1750,1807,1999,2147,2158,2297,2308,2300,2333
"03 Uppsala län","I hotell- och restaurangverksamhet","kvinnor",1841,1870,2054,2016,2181,2242,2238,2211,2284,2218,2214
"03 Uppsala län","J information och kommunikation","män",2530,2508,2370,2509,2597,2585,2751,2851,3007,3205,3276
"03 Uppsala län","J information och kommunikation","kvinnor",980,939,936,942,943,908,978,976,1024,1097,1111
"03 Uppsala län","K finans- och försäkringsverksamhet","män",675,653,678,640,668,655,659,688,713,798,722
"03 Uppsala län","K finans- och försäkringsverksamhet","kvinnor",967,877,858,838,843,814,790,809,890,891,824
"03 Uppsala län","L fastighetsverksamhet","män",1295,1337,1369,1422,1452,1453,1450,1536,1503,1503,1593
"03 Uppsala län","L fastighetsverksamhet","kvinnor",736,737,741,802,856,932,914,953,1019,1085,1127
"03 Uppsala län","M+N företagstjänster","män",10149,10403,8931,9726,9530,9805,10006,10248,10463,10983,11030
"03 Uppsala län","M+N företagstjänster","kvinnor",9149,9356,7579,7819,7721,7943,7980,8273,8622,8764,9040
"03 Uppsala län","O offentlig förvaltning och försvar","män",3725,3559,3644,4462,4525,4777,4843,4777,4965,5025,5212
"03 Uppsala län","O offentlig förvaltning och försvar","kvinnor",4394,4331,4247,4496,4834,4845,5078,5169,5645,5959,6266
"03 Uppsala län","P utbildning ","män",3445,3450,5658,5410,5646,5724,5800,5918,6023,6272,6292
"03 Uppsala län","P utbildning ","kvinnor",11333,11148,13929,14087,14535,14271,14263,14722,15264,15782,16092
"03 Uppsala län","Q vård och omsorg; sociala tjänster","män",5135,5179,5443,5625,5769,6198,6470,7062,7670,7655,7638
"03 Uppsala län","Q vård och omsorg; sociala tjänster","kvinnor",20926,20701,21401,21630,21970,22548,22797,23364,23946,23832,23806
"03 Uppsala län","R+S+T+U kulturella och personliga tjänster m.m.","män",2415,2387,2540,2637,2735,2825,2801,2775,2801,2867,2876
"03 Uppsala län","R+S+T+U kulturella och personliga tjänster m.m.","kvinnor",3572,3631,3717,3842,3928,4125,4165,4257,4241,4225,4212
"03 Uppsala län","00 okänd verksamhet","män",719,635,549,591,604,543,639,559,458,534,788
"03 Uppsala län","00 okänd verksamhet","kvinnor",784,716,692,808,886,814,922,831,738,833,984
"04 Södermanlands län","A jordbruk, skogsbruk och fiske","män",1844,1889,1929,2207,2154,2116,2083,2017,1952,1981,1877
"04 Södermanlands län","A jordbruk, skogsbruk och fiske","kvinnor",544,531,597,699,673,685,693,665,643,670,632
"04 Södermanlands län","B+C tillverkning och utvinning","män",16174,13648,13968,14316,13784,13572,13199,12799,12563,12368,12522
"04 Södermanlands län","B+C tillverkning och utvinning","kvinnor",5109,4371,4311,4393,4166,4081,4034,3875,3745,3635,3706
"04 Södermanlands län","D+E energiförsörjning; miljöverksamhet","män",802,884,860,858,907,935,928,967,1037,1073,1048
"04 Södermanlands län","D+E energiförsörjning; miljöverksamhet","kvinnor",289,300,266,251,246,239,231,256,296,305,279
"04 Södermanlands län","F byggverksamhet","män",7910,7655,8022,8420,8321,8306,8352,8701,8821,9263,9572
"04 Södermanlands län","F byggverksamhet","kvinnor",538,518,556,574,642,633,635,682,678,711,777
